countrynm                     ,latitude                      ,longitude                     ,population
Albania                       ,41.194385181718               ,19.911378352789               ,3311165
Andorra                       ,42.513021047994               ,1.5595993976499               ,125758
Austria                       ,47.765193698288               ,14.634123877631               ,7953364
Belarus                       ,53.534380910258               ,27.811009864462               ,9819067
Belgium                       ,50.844559858929               ,4.4371970671517               ,10296061
Bosnia-Herzegovina            ,44.162657085137               ,17.76117008933                ,4269082
Bulgaria                      ,42.751706708083               ,25.08740596299                ,7185012
Croatia                       ,45.317641918746               ,16.262944879793               ,4650346
Cyprus                        ,34.966786722093               ,33.257168812252               ,840762
Czech Republic                ,49.821788117433               ,15.613237699363               ,10137894
Denmark                       ,55.853126914967               ,10.864851918353               ,5373881
Estonia                       ,58.95164739167                ,25.564377650019               ,1252780
Faeroe Islands                ,62.094657785615               ,-6.8992594117634              ,50564
Finland                       ,61.728144020734               ,25.050425796452               ,5187429
France                        ,47.123369318629               ,2.6805478522224               ,61203442
Germany                       ,50.846581236184               ,9.6860092676237               ,81353411
Gibraltar                     ,36.136024475098               ,-5.3476929664612              ,26123
Greece                        ,38.670817410627               ,23.35157654924                ,10579163
Guernsey                      ,49.484886169434               ,-2.5164697170258              ,56290
Holy See                      ,41.831249237061               ,12.541416168213               ,780
Hungary                       ,47.288791635008               ,19.392519162737               ,9489103
Iceland                       ,64.340333059033               ,-20.96036771032               ,296956
Ireland                       ,53.115425619273               ,-7.4069761943761              ,4201258
Isle of Man                   ,54.185815083041               ,-4.5297579259592              ,81238
Italy                         ,42.878891770737               ,12.129225229324               ,56390486
Jersey                        ,49.219615936279               ,-2.1376717090607              ,90077
Latvia                        ,56.831629532001               ,24.50875799043                ,2288362
Liechtenstein                 ,47.152650898499               ,9.5490759866394               ,36006
Lithuania                     ,55.226946021432               ,23.888296821978               ,3594322
Luxembourg                    ,49.644268461894               ,6.0836201926406               ,490433
Macedonia                     ,41.747899934658               ,21.548337843116               ,2071769
Malta                         ,35.898943592181               ,14.457666803172               ,404739
Monaco                        ,43.740207672119               ,7.4421668052673               ,36244
Netherlands                   ,52.069769909488               ,5.2856484460503               ,16313228
Norway                        ,61.089862500005               ,9.9201984517371               ,4613845
Poland                        ,51.713706077277               ,19.309306988862               ,38253292
Portugal                      ,39.754897778195               ,-9.1584962508473              ,10082242
Republic of Moldova           ,47.169330463516               ,28.60187295802                ,4189587
Romania                       ,45.697064599798               ,25.294628633891               ,21819156
Russia                        ,53.727345202945               ,54.047898583217               ,136975706
San Marino                    ,43.93830871582                ,12.463205337524               ,29407
Serbia and Montenegro         ,43.695670346703               ,20.747344298673               ,10788974
Slovakia                      ,48.665747359116               ,19.16412401028                ,5429844
Slovenia                      ,46.167165804776               ,14.886165339852               ,1955026
Spain                         ,39.674578415577               ,-3.2843582298931              ,39568735
Svalbard                      ,78.597373962402               ,15.905464172363               ,2226
Sweden                        ,58.888444437865               ,15.535572129725               ,8702938
Switzerland                   ,47.022583268843               ,7.9530278276365               ,7072677
Ukraine                       ,48.807997292128               ,31.732572912027               ,45239327
United Kingdom                ,52.735567708185               ,-1.6789861408734              ,60261667

